Topic,Prompt Type,Prompt,Response
World War II,baseline,Explain world war ii.,
World War II,role_specific,You are a historian. Explain world war ii.,
World War II,CoT,You are a historian. Let's think step by step. Explain world war ii.,
World War II,Ambiguous,You are a historian. Can you talk about it?,
World War II,Adversarial,You are a historian. Why is world war ii considered controversial or misunderstood?,
Quantum Mechanics,baseline,Explain quantum mechanics.,
Quantum Mechanics,role_specific,You are a physicist. Explain quantum mechanics.,
Quantum Mechanics,CoT,You are a physicist. Let's think step by step. Explain quantum mechanics.,
Quantum Mechanics,Ambiguous,You are a physicist. Can you talk about it?,
Quantum Mechanics,Adversarial,You are a physicist. Why is quantum mechanics considered controversial or misunderstood?,
Climate Change,baseline,Explain climate change.,
Climate Change,role_specific,You are a climate scientist. Explain climate change.,
Climate Change,CoT,You are a climate scientist. Let's think step by step. Explain climate change.,
Climate Change,Ambiguous,You are a climate scientist. Can you talk about it?,
Climate Change,Adversarial,You are a climate scientist. Why is climate change considered controversial or misunderstood?,
Artificial Intelligence,baseline,Explain artificial intelligence.,
Artificial Intelligence,role_specific,You are an AI researcher. Explain artificial intelligence.,
Artificial Intelligence,CoT,You are an AI researcher. Let's think step by step. Explain artificial intelligence.,
Artificial Intelligence,Ambiguous,You are an AI researcher. Can you talk about it?,
Artificial Intelligence,Adversarial,You are an AI researcher. Why is artificial intelligence considered controversial or misunderstood?,
Ancient Rome,baseline,Explain ancient rome.,
Ancient Rome,role_specific,You are an archaeologist. Explain ancient rome.,
Ancient Rome,CoT,You are an archaeologist. Let's think step by step. Explain ancient rome.,
Ancient Rome,Ambiguous,You are an archaeologist. Can you talk about it?,
Ancient Rome,Adversarial,You are an archaeologist. Why is ancient rome considered controversial or misunderstood?,
Vaccines,baseline,Explain vaccines.,
Vaccines,role_specific,You are a medical doctor. Explain vaccines.,
Vaccines,CoT,You are a medical doctor. Let's think step by step. Explain vaccines.,
Vaccines,Ambiguous,You are a medical doctor. Can you talk about it?,
Vaccines,Adversarial,You are a medical doctor. Why is vaccines considered controversial or misunderstood?,
Capitalism,baseline,Explain capitalism.,
Capitalism,role_specific,You are a Marxist economist. Explain capitalism.,
Capitalism,CoT,You are a Marxist economist. Let's think step by step. Explain capitalism.,
Capitalism,Ambiguous,You are a Marxist economist. Can you talk about it?,
